question_id,top_doc_similarity
241,0.2793826700951284
249,0.3270491519276723
167,0.3494314355842224
354,0.3516700891016414
128,0.3594425752131567
310,0.3597823876684161
276,0.3598199895903828
246,0.3639171332546631
484,0.3644620423878386
237,0.3751811476262908
41,0.3801749400279637
204,0.3859494682769808
85,0.3895597446860481
359,0.3946393945580677
244,0.4012838856979082
316,0.4039464778170917
189,0.4115656596274417
243,0.4127573016485082
248,0.4131945019874556
104,0.4182205206062265
28,0.4193434945608547
445,0.4193928584168985
293,0.4227883861112683
134,0.4249085500955557
18,0.4249085500955557
